name,year,selling_price,present_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,Model,Location,Color,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
Chevrolet Beat LS,2012,120000.0,,60000,Petrol,Individual,Manual,Third Owner,18.6 kmpl,1199 CC,79.4 bhp,108Nm@ 4400rpm,5.0,,,,,,,,,,,,
Tata Tigor 1.2 Revotron XZA,2018,645000.0,,10000,Petrol,Individual,Automatic,First Owner,20.3 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,,,,,,,,,,,,
Maruti 800 Std,2006,81000.0,,80000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,,,,,,,,,,,,
Honda City i-DTEC VX,2017,1300000.0,,30000,Diesel,Individual,Manual,First Owner,25.6 kmpl,1498 CC,97.9 bhp,200Nm@ 1750rpm,5.0,,,,,,,,,,,,
Honda City i-DTEC VX,2017,1250000.0,,33000,Diesel,Individual,Manual,First Owner,25.6 kmpl,1498 CC,97.9 bhp,200Nm@ 1750rpm,5.0,,,,,,,,,,,,
Maruti Ertiga VXI,2013,535000.0,,90000,Petrol,Individual,Manual,Third Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7.0,,,,,,,,,,,,
Nissan Terrano XV Premium 110 PS,2014,555000.0,,80100,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.5 bhp,248Nm@ 2250rpm,5.0,,,,,,,,,,,,
Honda City i VTEC VX,2014,725000.0,,120000,Petrol,Individual,Manual,First Owner,17.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0,,,,,,,,,,,,
Mahindra Willys CJ 3B 4X4,1983,300000.0,,10000,Diesel,Individual,Manual,Third Owner,,,,,,,,,,,,,,,,,
Renault KWID RXL,2016,229999.0,,40000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0,,,,,,,,,,,,
Toyota Innova 2.5 GX (Diesel) 8 Seater,2013,800000.0,,160000,Diesel,Individual,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8.0,,,,,,,,,,,,
Maruti Wagon R VXI BS IV,2017,409999.0,,47000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,,,,,,,,,,,,
Hyundai Creta 1.4 CRDi S Plus,2018,1210000.0,,25000,Diesel,Individual,Manual,First Owner,21.38 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1500-2750rpm,5.0,,,,,,,,,,,,
Tata Tiago 1.2 Revotron XZ,2017,400000.0,,26000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,,,,,,,,,,,,
Hyundai Grand i10 1.2 CRDi Sportz,2018,520000.0,,29000,Diesel,Individual,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0,,,,,,,,,,,,
Maruti Baleno Zeta Automatic,2016,650000.0,,50000,Petrol,Individual,Automatic,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,,,,,,,,,,,,
Maruti Swift ZXI ABS,2011,325000.0,,58000,Petrol,Individual,Manual,Third Owner,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5.0,,,,,,,,,,,,
Maruti Swift Dzire VXi AT,2012,420000.0,,120000,Petrol,Individual,Automatic,First Owner,17.4 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5.0,,,,,,,,,,,,
Maruti Swift LXI Option,2014,400000.0,,50000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,,,,,,,,,,,,
Hyundai i20 1.2 Asta,2010,254999.0,,80000,Petrol,Individual,Manual,Fourth & Above Owner,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5.0,,,,,,,,,,,,
Maruti Zen LXI,2003,65000.0,,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5.0,,,,,,,,,,,,
Maruti Celerio LXI,2017,351000.0,,36000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,,,,,,,,,,,,
Toyota Innova 2.5 V Diesel 8-seater,2007,404000.0,,120000,Diesel,Individual,Manual,Third Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0,,,,,,,,,,,,
Maruti Ritz LDi,2011,185000.0,,185000,Diesel,Individual,Manual,Third Owner,21.1 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0,,,,,,,,,,,,
Nissan Micra Diesel XV,2011,250000.0,,50000,Diesel,Individual,Manual,First Owner,23.08 kmpl,1461 CC,63.1 bhp,160Nm@ 2000rpm,5.0,,,,,,,,,,,,
Maruti Zen LXI,2002,60000.0,,100000,Petrol,Individual,Manual,Fourth & Above Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5.0,,,,,,,,,,,,
Hyundai Verna 1.6 SX VTVT (O),2013,500000.0,,50000,Petrol,Individual,Manual,Second Owner,17.1 kmpl,1591 CC,121.3 bhp,154.9Nm@ 4200rpm,5.0,,,,,,,,,,,,
Maruti Zen Estilo LXI BSIII,2007,85000.0,,80000,Petrol,Individual,Manual,Second Owner,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,,,,,,,,,,,,
Hyundai Santro Xing XL,2005,85000.0,,60000,Petrol,Individual,Manual,Second Owner,,,,,,,,,,,,,,,,,
Maruti Alto LX,2005,85000.0,,80000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,,,,,,,,,,,,
Maruti Swift Dzire ZDi,2011,265000.0,,90000,Diesel,Individual,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0,,,,,,,,,,,,
Maruti A-Star Vxi,2010,130000.0,,162000,Petrol,Individual,Manual,Second Owner,19.0 kmpl,998 CC,66.1 bhp,90Nm@ 3500rpm,5.0,,,,,,,,,,,,
Maruti Ertiga VDI,2013,480000.0,,110000,Diesel,Individual,Manual,Third Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0,,,,,,,,,,,,
Maruti Swift Ldi BSIII,2008,170000.0,,120000,Diesel,Individual,Manual,Third Owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5.0,,,,,,,,,,,,
Nissan Micra Diesel XV,2011,275000.0,,45000,Diesel,Individual,Manual,First Owner,23.08 kmpl,1461 CC,63.1 bhp,160Nm@ 2000rpm,5.0,,,,,,,,,,,,
Maruti Wagon R LXI,2005,89000.0,,90000,Petrol,Individual,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,,,,,,,,,,,,
Ford Figo Diesel Titanium,2010,170000.0,,90000,Diesel,Individual,Manual,Second Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0,,,,,,,,,,,,
Mahindra XUV300 W8 Option BSIV,2019,1090000.0,,16500,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1197 CC,110 bhp,200Nm@ 2000-3500rpm,5.0,,,,,,,,,,,,
Hyundai Creta 1.6 CRDi AT SX Plus,2017,1100000.0,,67000,Diesel,Individual,Automatic,First Owner,17.01 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0,,,,,,,,,,,,
Maruti Swift VXI BSIV,2018,610000.0,,52000,Petrol,Dealer,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,,,,,,,,,,,,
Datsun GO T Option BSIV,2016,335000.0,,40000,Petrol,Dealer,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5.0,,,,,,,,,,,,
Hyundai Grand i10 Asta,2015,434999.0,,40000,Petrol,Dealer,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0,,,,,,,,,,,,
Toyota Fortuner 2.8 2WD MT BSIV,2018,3000000.0,,35000,Diesel,Individual,Manual,First Owner,14.24 kmpl,2755 CC,174.5 bhp,420Nm@ 1400-2600rpm,7.0,,,,,,,,,,,,
Renault KWID RXL,2018,390000.0,,13000,Petrol,Dealer,Manual,First Owner,20.71 kmpl,799 CC,53.26 bhp,72Nm@ 4386rpm,5.0,,,,,,,,,,,,
Honda Brio 1.2 VX MT,2012,325000.0,,40000,Petrol,Dealer,Manual,First Owner,18.5 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5.0,,,,,,,,,,,,
Volkswagen Ameo 1.2 MPI Comfortline Plus,2019,640000.0,,10000,Petrol,Dealer,Manual,First Owner,17.0 kmpl,1198 CC,73.75 bhp,110Nm@ 3750rpm,5.0,,,,,,,,,,,,
Nissan Sunny XV Special Edition,2012,450000.0,,9000,Petrol,Dealer,Manual,First Owner,16.95 kmpl,1498 CC,97.7 bhp,134Nm@ 4000rpm,5.0,,,,,,,,,,,,
Toyota Etios Liva GD SP,2013,400000.0,,70000,Diesel,Dealer,Manual,Second Owner,23.59 kmpl,1364 CC,67.06 bhp,170Nm@ 1800-2400rpm,5.0,,,,,,,,,,,,
Hyundai i10 Sportz,2009,215000.0,,60000,Petrol,Dealer,Manual,First Owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0,,,,,,,,,,,,
Renault Duster 85PS Diesel RxL,2014,570000.0,,40000,Diesel,Dealer,Manual,First Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0,,,,,,,,,,,,
Mahindra XUV500 W8 2WD,2012,680000.0,,93000,Diesel,Dealer,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,,,,,,,,,,,,
Toyota Innova 2.5 V Diesel 7-seater,2008,325000.0,,80000,Diesel,Individual,Manual,Fourth & Above Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7.0,,,,,,,,,,,,
Tata Indigo CS eGLX BS IV,2011,150000.0,,50000,Petrol,Individual,Manual,Second Owner,15.64 kmpl,1193 CC,64.08 bhp,100Nm@ 2700rpm,5.0,,,,,,,,,,,,
Hyundai Elantra SX AT,2013,690000.0,,68000,Petrol,Dealer,Automatic,First Owner,14.5 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm,5.0,,,,,,,,,,,,
Mercedes-Benz New C-Class 220 CDI AT,2013,1550000.0,,25000,Diesel,Individual,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5.0,,,,,,,,,,,,
Tata Nano STD,2012,64000.0,,18000,Petrol,Dealer,Manual,First Owner,25.4 kmpl,624 CC,37.5 bhp,51Nm@ 4000rpm,4.0,,,,,,,,,,,,
Nissan Micra Diesel XL,2013,250000.0,,120000,Diesel,Individual,Manual,First Owner,23.08 kmpl,1461 CC,63.1 bhp,160Nm@ 2000rpm,5.0,,,,,,,,,,,,
Maruti Wagon R LXI,2005,65000.0,,35000,Petrol,Individual,Manual,First Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,,,,,,,,,,,,
Maruti Swift Dzire VDI,2016,550000.0,,60000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,,,,,,,,,,,,
Hyundai i10 Magna,2010,140000.0,,70000,Petrol,Individual,Manual,Fourth & Above Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,,,,,,,,,,,,
Renault KWID RXT,2016,300000.0,,30000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0,,,,,,,,,,,,
Volkswagen GTI 1.8 TSI,2016,800000.0,,70000,Petrol,Individual,Automatic,First Owner,16.34 kmpl,1798 CC,189.3 bhp,250Nm@ 1250-5300rpm,5.0,,,,,,,,,,,,
Tata Safari Storme EX,2015,503000.0,,110000,Diesel,Individual,Manual,First Owner,14.1 kmpl,2179 CC,147.94 bhp,320Nm@ 1500-3000rpm,7.0,,,,,,,,,,,,
Volvo XC40 D4 Inscription BSIV,2019,3800000.0,,20000,Diesel,Individual,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,400Nm,5.0,,,,,,,,,,,,
Toyota Camry 2.5 Hybrid,2016,2000000.0,,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5.0,,,,,,,,,,,,
Maruti Wagon R LXI,2013,225000.0,,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,,,,,,,,,,,,
Maruti Baleno Alpha 1.3,2018,740000.0,,38817,Diesel,Dealer,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,,,,,,,,,,,,
Honda Jazz VX,2016,550000.0,,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0,,,,,,,,,,,,
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000.0,,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0,,,,,,,,,,,,
Maruti Swift AMT VVT VXI,2019,650000.0,,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,,,,,,,,,,,,
Toyota Etios VX,2017,625000.0,,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78 kmpl,1496 CC,88.73 bhp,132Nm@ 3000rpm,5.0,,,,,,,,,,,,
Maruti Swift AMT ZXI,2018,600000.0,,69779,Petrol,Dealer,Automatic,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,,,,,,,,,,,,
Hyundai Grand i10 1.2 CRDi Sportz,2017,450000.0,,56290,Diesel,Dealer,Manual,First Owner,24.0 kmpl,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0,,,,,,,,,,,,
BMW X4 M Sport X xDrive20d,2019,5400000.0,,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0,,,,,,,,,,,,
BMW X4 M Sport X xDrive20d,2019,5500000.0,,8500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0,,,,,,,,,,,,
Honda Amaze V CVT Petrol BSIV,2019,779000.0,,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5.0,,,,,,,,,,,,
Volvo V40 D3 R-Design,2018,2475000.0,,2000,Diesel,Dealer,Automatic,First Owner,16.8 kmpl,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5.0,,,,,,,,,,,,
Hyundai i10 Magna,2010,150000.0,,106000,Petrol,Individual,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,,,,,,,,,,,,
Toyota Etios Liva Diesel TRD Sportivo,2012,265000.0,,162000,Diesel,Individual,Manual,Third Owner,,,,,,,,,,,,,,,,,
Honda CR-V 2.4L 4WD AT,2009,500000.0,,120000,Petrol,Individual,Automatic,Second Owner,11.1 kmpl,2354 CC,158.8 bhp,218Nm@ 4200rpm,5.0,,,,,,,,,,,,
Maruti Swift Dzire VDI,2015,480000.0,,90000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,,,,,,,,,,,,
Hyundai Verna 1.6 SX CRDi (O),2014,535000.0,,70000,Diesel,Individual,Manual,Third Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0,,,,,,,,,,,,
Toyota Innova 2.5 G1 Diesel 8-seater,2005,250000.0,,240000,Diesel,Individual,Manual,Third Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0,,,,,,,,,,,,
Maruti SX4 Celebration Diesel,2012,300000.0,,100000,Diesel,Individual,Manual,Second Owner,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,5.0,,,,,,,,,,,,
Hyundai Verna XXi ABS (Petrol),2009,340000.0,,214000,Petrol,Individual,Manual,Second Owner,13.9 kmpl,1599 CC,103.2 bhp,"14.9@ 3,000(kgm@ rpm)",5.0,,,,,,,,,,,,
Hyundai Verna CRDi SX,2009,340000.0,,214000,Diesel,Individual,Manual,Second Owner,16.8 kmpl,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5.0,,,,,,,,,,,,
Maruti Alto 800 VXI,2016,240000.0,,50000,Petrol,Individual,Manual,First Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0,,,,,,,,,,,,
Honda City i-VTEC CVT V,2018,1085000.0,,1000,Petrol,Individual,Automatic,First Owner,18.0 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm,5.0,,,,,,,,,,,,
Maruti Swift Dzire AMT VDI,2017,750000.0,,19000,Diesel,Individual,Automatic,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0,,,,,,,,,,,,
Tata Indigo LS,2012,95000.0,,265000,Diesel,Individual,Manual,Second Owner,17.0 kmpl,1405 CC,70 bhp,"13.5@ 2,500(kgm@ rpm)",5.0,,,,,,,,,,,,
Maruti Eeco CNG 5 Seater AC,2020,409999.0,,35000,CNG,Individual,Manual,First Owner,20.88 km/kg,1196 CC,61.7 bhp,85Nm@ 3000rpm,5.0,,,,,,,,,,,,
Maruti Alto K10 VXI,2014,215000.0,,80000,Petrol,Individual,Manual,Second Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5.0,,,,,,,,,,,,
Mahindra XUV500 AT W10 AWD,2016,1290000.0,,50000,Diesel,Individual,Automatic,First Owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,,,,,,,,,,,,
Maruti Alto K10 LXI,2010,150000.0,,80000,Petrol,Individual,Manual,First Owner,20.92 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,,,,,,,,,,,,
Hyundai EON Sportz,2013,219000.0,,50000,Petrol,Individual,Manual,Second Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,,,,,,,,,,,,
Tata Tiago 1.2 Revotron XE,2018,325000.0,,100000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,,,,,,,,,,,,
Maruti Eeco Smiles 5 Seater AC,2013,260000.0,,120000,Petrol,Individual,Manual,Second Owner,15.1 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5.0,,,,,,,,,,,,
Honda Amaze S CVT Diesel BSIV,2019,700000.0,,40000,Diesel,Individual,Automatic,First Owner,23.8 kmpl,1498 CC,78.9 bhp,160Nm@ 1750rpm,5.0,,,,,,,,,,,,
Hyundai Creta 1.4 CRDi Base,2017,950000.0,,45000,Diesel,Individual,Manual,First Owner,21.38 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1500-2750rpm,5.0,,,,,,,,,,,,
Maruti Alto LXi BSIII,2010,160000.0,,80000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,,,,,,,,,,,,
Hyundai Xcent 1.1 CRDi S Option,2015,409999.0,,135000,Diesel,Individual,Manual,Second Owner,24.4 kmpl,1120 CC,71.01 bhp,180.4Nm@ 1750-2500rpm,5.0,,,,,,,,,,,,
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,840000.0,,120000,Diesel,Individual,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,7.0,,,,,,,,,,,,
Toyota Etios Liva Diesel,2013,450000.0,,67000,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.1 bhp,170Nm@ 1800-2400rpm,5.0,,,,,,,,,,,,
Maruti Swift Dzire ZDI Plus,2017,900000.0,,50000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0,,,,,,,,,,,,
Toyota Innova 2.5 V Diesel 7-seater,2008,570000.0,,134000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),7.0,,,,,,,,,,,,
Nissan Micra Diesel XV,2011,254999.0,,110000,Diesel,Individual,Manual,Second Owner,23.08 kmpl,1461 CC,63.1 bhp,160Nm@ 2000rpm,5.0,,,,,,,,,,,,
Maruti 800 AC BSIII,2009,130000.0,,40000,Petrol,Individual,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,,,,,,,,,,,,
Maruti Swift Dzire VDI,2013,530000.0,,120000,Diesel,Individual,Manual,Second Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,,,,,,,,,,,,
Volkswagen Polo 1.5 TDI Highline,2015,520000.0,,110000,Diesel,Individual,Manual,Second Owner,20.14 kmpl,1498 CC,88.8 bhp,230Nm@ 1500-2500rpm,5.0,,,,,,,,,,,,
Mahindra Verito 1.5 D2 BSIII,2011,229999.0,,170000,Diesel,Individual,Manual,Second Owner,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm,5.0,,,,,,,,,,,,
Maruti 800 AC BSIII,2004,81000.0,,80000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,,,,,,,,,,,,
Maruti Swift VDI Optional,2016,600000.0,,47000,Diesel,Individual,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,,,,,,,,,,,,
Hyundai Xcent 1.2 Kappa S Option,2015,409999.0,,93000,Petrol,Individual,Manual,First Owner,19.1 kmpl,1197 CC,81.86 bhp,113.75Nm@ 4000rpm,5.0,,,,,,,,,,,,
Maruti 800 Std,2010,120000.0,,70000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,,,,,,,,,,,,
Maruti Celerio VXI,2014,320000.0,,50000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,,,,,,,,,,,,
Ford Figo Diesel EXI,2015,292000.0,,70000,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68.05 bhp,160Nm@ 2000rpm,5.0,,,,,,,,,,,,
Tata Safari DICOR 2.2 LX 4x2,2012,390000.0,,80000,Diesel,Individual,Manual,First Owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7.0,,,,,,,,,,,,
Ford Figo 1.2P Titanium Plus MT,2016,550000.0,,44000,Petrol,Individual,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5.0,,,,,,,,,,,,
Maruti Celerio ZXI,2014,385000.0,,25000,Petrol,Individual,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,,,,,,,,,,,,
Hyundai Creta 1.6 VTVT S,2016,800000.0,,25000,Petrol,Individual,Manual,First Owner,15.29 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5.0,,,,,,,,,,,,
Maruti Swift Dzire VXI 1.2,2019,675000.0,,10000,Petrol,Individual,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,,,,,,,,,,,,
Tata Hexa XT,2018,1525000.0,,50000,Diesel,Individual,Manual,First Owner,17.6 kmpl,2179 CC,153.86 bhp,400Nm@ 1750-2500rpm,7.0,,,,,,,,,,,,
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2018,950000.0,,30000,Diesel,Individual,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5.0,,,,,,,,,,,,
Hyundai i20 Active 1.4 SX with AVN,2015,610000.0,,50000,Diesel,Individual,Manual,Second Owner,21.19 kmpl,1396 CC,88.73 bhp,219.66nm@ 1500-2750rpm,5.0,,,,,,,,,,,,
Hyundai i20 Asta 1.4 CRDi,2012,525000.0,,120000,Diesel,Individual,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0,,,,,,,,,,,,
Mahindra Bolero 2011-2019 SLE,2015,375000.0,,80000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,,,,,,,,,,,,
Nissan Terrano XL Plus 85 PS,2015,580000.0,,90000,Diesel,Individual,Manual,First Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0,,,,,,,,,,,,
Maruti Swift VXI Windsong Limited edition,2015,434999.0,,50000,Petrol,Individual,Manual,Second Owner,20.4 kmpl,1197 CC,83.11 bhp,115Nm@ 4000rpm,5.0,,,,,,,,,,,,
Datsun RediGO 1.0 S,2020,350000.0,,2136,Petrol,Individual,Manual,First Owner,22.5 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0,,,,,,,,,,,,
Toyota Innova 2.5 G (Diesel) 7 Seater,2012,730000.0,,250000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7.0,,,,,,,,,,,,
Hyundai i20 Magna 1.2,2015,600000.0,,35000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,,,,,,,,,,,,
Toyota Innova 2.5 VX (Diesel) 7 Seater,2015,1050000.0,,120000,Diesel,Individual,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,7.0,,,,,,,,,,,,
Maruti Baleno Alpha 1.3,2017,735000.0,,70000,Diesel,Individual,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,,,,,,,,,,,,
Renault Duster 110PS Diesel RxZ,2018,1050000.0,,18000,Diesel,Dealer,Manual,First Owner,19.6 kmpl,1461 CC,108.45 bhp,245Nm@ 1750rpm,5.0,,,,,,,,,,,,
Chevrolet Enjoy 1.3 TCDi LS 7,2016,420000.0,,110000,Diesel,Individual,Manual,Second Owner,18.2 kmpl,1248 CC,73.74 bhp,172.5Nm@ 1750rpm,7.0,,,,,,,,,,,,
Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2017,800000.0,,60000,Diesel,Individual,Manual,First Owner,23.65 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,,,,,,,,,,,,
Toyota Fortuner 4x2 AT,2015,2000000.0,,60000,Diesel,Individual,Automatic,First Owner,12.55 kmpl,2982 CC,168.5 bhp,360Nm@ 1400-3200rpm,7.0,,,,,,,,,,,,
Maruti Swift Dzire VDI,2016,600000.0,,147000,Diesel,Individual,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,,,,,,,,,,,,
